,index,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,151,2022-580,Australian Open,Hard,128,G,20220117,100,202458,1,,Ashleigh Barty,R,166.0,AUS,25.7330595483,201615,Q,,Lesia Tsurenko,R,174.0,UKR,32.6351813826,6-0 6-1,3,R128,54.0,5.0,0.0,45.0,26.0,19.0,12.0,7.0,2.0,2.0,0.0,1.0,38.0,22.0,8.0,6.0,6.0,3.0,8.0,1.0,7111.0,119.0,634.0
1,152,2022-580,Australian Open,Hard,128,G,20220117,101,214459,Q,,Lucia Bronzetti,R,,ITA,23.1047227926,219875,,,Varvara Gracheva,R,,RUS,21.4592744695,3-6 6-2 6-3,3,R128,109.0,4.0,2.0,71.0,38.0,24.0,20.0,13.0,2.0,5.0,0.0,6.0,78.0,54.0,32.0,11.0,13.0,4.0,9.0,142.0,511.0,78.0,907.0
2,153,2022-580,Australian Open,Hard,128,G,20220117,102,206124,,,Tereza Martincova,R,178.0,CZE,27.2334017796,201616,,,Lauren Davis,R,157.0,USA,28.2737850787,7-5 6-2,3,R128,101.0,6.0,0.0,76.0,57.0,36.0,7.0,10.0,7.0,10.0,3.0,1.0,71.0,42.0,22.0,13.0,10.0,5.0,11.0,47.0,1226.0,90.0,852.0
3,154,2022-580,Australian Open,Hard,128,G,20220117,103,202429,30,,Camila Giorgi,R,168.0,ITA,30.0506502396,215713,,,Anastasia Potapova,R,175.0,RUS,20.8021902806,6-4 6-0,3,R128,72.0,2.0,3.0,56.0,26.0,21.0,16.0,8.0,4.0,4.0,1.0,5.0,50.0,26.0,13.0,11.0,8.0,0.0,4.0,33.0,1692.0,68.0,1015.0
4,155,2022-580,Australian Open,Hard,128,G,20220117,104,202505,22,,Belinda Bencic,R,175.0,SUI,24.8569472964,201540,,,Kristina Mladenovic,R,184.0,FRA,28.6789869952,6-4 6-3,3,R128,89.0,4.0,2.0,60.0,37.0,25.0,14.0,10.0,2.0,4.0,2.0,2.0,58.0,39.0,23.0,6.0,9.0,2.0,6.0,22.0,2415.0,88.0,860.0
5,156,2022-580,Australian Open,Hard,128,G,20220117,105,216153,,,Amanda Anisimova,R,180.0,USA,20.3805612594,215996,Q,,Arianne Hartono,R,,NED,25.7412731006,2-6 6-4 6-3,3,R128,104.0,0.0,3.0,81.0,53.0,34.0,11.0,14.0,3.0,9.0,1.0,5.0,105.0,69.0,39.0,15.0,13.0,13.0,19.0,60.0,1060.0,189.0,363.0
6,157,2022-580,Australian Open,Hard,128,G,20220117,106,201483,,,Madison Brengle,R,168.0,USA,31.7919233402,215035,,,Dayana Yastremska,R,175.0,UKR,21.6755646817,6-1 0-6 5-0 RET,3,R128,88.0,0.0,2.0,61.0,41.0,23.0,10.0,9.0,4.0,8.0,1.0,3.0,63.0,34.0,16.0,14.0,9.0,7.0,13.0,54.0,1132.0,144.0,502.0
7,158,2022-580,Australian Open,Hard,128,G,20220117,107,211768,13,,Naomi Osaka,R,180.0,JPN,24.2546201232,215785,,,Camila Osorio,R,162.0,COL,20.0711841205,6-3 6-3,3,R128,68.0,4.0,3.0,57.0,29.0,24.0,14.0,9.0,4.0,5.0,1.0,4.0,54.0,33.0,20.0,10.0,9.0,2.0,6.0,14.0,2696.0,50.0,1167.0
8,159,2022-580,Australian Open,Hard,128,G,20220117,108,203463,,,Nuria Parrizas Diaz,R,167.0,ESP,30.5106091718,210705,LL,,Irina Maria Bara,R,,ROU,26.8364134155,6-3 6-1,3,R128,69.0,0.0,0.0,55.0,43.0,26.0,8.0,8.0,2.0,4.0,0.0,3.0,44.0,27.0,9.0,6.0,8.0,0.0,6.0,63.0,1043.0,134.0,573.0
9,160,2022-580,Australian Open,Hard,128,G,20220117,109,202628,,,Maryna Zanevska,R,175.0,UKR,28.3997262149,215219,,,Kaja Juvan,R,170.0,SLO,21.144421629,7-6(7) 7-6(4),3,R128,126.0,1.0,6.0,82.0,45.0,33.0,12.0,12.0,0.0,5.0,2.0,1.0,81.0,37.0,23.0,19.0,12.0,2.0,7.0,80.0,892.0,89.0,858.0
