name,address,email,website,phone,lat,lon
Дворовая территория,"Шипиловский проезд, дом 57, корпус 2",sosbr@mos.ru,orehovo-borisovo-juzhnoe.mos.ru,(495) 343-24-83,37.708452253916,55.6041160678759
Дворовая территория,"Днепропетровская улица, дом 16, корпус 4",mchertanovo@yandex.ru,chertanovocentr.ru,(495) 389-16-66,37.5804820702248,55.6168641489517
Дворовая территория,"Кировоградская улица, дом 44А, корпус 2",chu-zhil@yandex.ru,chertanovocentr.mos.ru,(495) 381-66-51,37.5945987579086,55.5986926369269
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.5185096940859,55.7925406644078
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.5187698683607,55.7925844709482
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.5186652622087,55.7919568723254
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.5189361653197,55.7920038241632
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.5191856107579,55.7920477372523
Физкультурно-оздоровительный комплекс «Учебно-спортивная база ЦСКА»,"3-я Песчаная улица, дом 2",brd@cska.ru,cska.ru,(499) 157-75-91,37.519137330996,55.791669025998
Дворовая территория,"Астрадамская улица, дом 15",zhil-tim@mail.ru,zhiltim-peo.wixsite.com/plumber-ru,(495) 611-27-74,37.5620301347814,55.8152278540107
Дворовая территория,"Астрадамская улица, дом 15",zhil-tim@mail.ru,zhiltim-peo.wixsite.com/plumber-ru,(495) 611-27-74,37.5618294909251,55.8151796838542
Объединенный санаторий и дом отдыха «Десна»,"посёлок Воскресенское, дом 26",office@desna-udp.ru,desna-udp.ru,(495) 659-42-68,37.4039114921056,55.5224549361135
ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино»,"Летняя улица, дом 1, строение 1",mgomz@culture.mos.ru,www.mgomz.ru,(495) 350-15-53,37.7384450405277,55.6890676785308
ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино»,"Летняя улица, дом 1, строение 1",mgomz@culture.mos.ru,www.mgomz.ru,(495) 350-15-53,37.7385630577249,55.688689833374
ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино»,"Летняя улица, дом 1, строение 1",mgomz@culture.mos.ru,www.mgomz.ru,(495) 350-15-53,37.7387454479374,55.6884317226637
ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино»,"Летняя улица, дом 1, строение 1",mgomz@culture.mos.ru,www.mgomz.ru,(495) 350-15-53,37.7376242845696,55.6885309927148
"Парк, озелененная городская территория «Парк «Фестивальный»","улица Сущёвский Вал, дом 56, строение 4",,mospark.ru/home/parki-moskvy/parki-tsao/festivalnyj-park.html,(495) 688-57-87,37.6215576738693,55.791195364402
"Парк, озелененная городская территория «Северное Тушино»","улица Свободы, дом 52",info@mosparks.ru,mosparks.ru/,(495) 640-73-55,37.4503057991124,55.864078719241
Спортивный комплекс «Дворец детского спорта»,"Рабочая улица, дом 53, строение 1",sekretar.dds@bk.ru,dds.mossport.ru/,(495) 670-21-60,37.6891953733566,55.7404175866672
Спортивный комплекс «Дворец детского спорта»,"Рабочая улица, дом 53, строение 1",sekretar.dds@bk.ru,dds.mossport.ru/,(495) 670-21-60,37.6889730282248,55.7407101786465
Дворовая территория,"Беломорская улица, дом 14, корпус 1",artostroverh@mail.ru,levoberezhny.mos.ru/,(495) 456-10-01,37.4718313462964,55.8616646742999
"Парк, озелененная городская территория «Парк у прудов «Радуга»","Вешняковская улица, дом 16",ppkio@mail.ru,www.perovskiy-park.ru/,(495) 309-53-42,37.8169248590678,55.7316077347261
"Парк, озелененная городская территория «Парк у прудов «Радуга»","Вешняковская улица, дом 16",ppkio@mail.ru,www.perovskiy-park.ru/,(495) 309-53-42,37.82280426123,55.7311698114824
Дворовая территория,"город Зеленоград, корпус 1204",gbukrukovo@zelao.mos.ru,gbukrukovo.ru/,(499) 731-77-78,37.1952463057402,55.9990032846446
Стадион (1500 и более мест) «Ангстрем»,"город Зеленоград, Озёрная аллея, дом 3",s112@mossport.ru,s112.mossport.ru,(903) 130-05-70,37.2238937201384,55.9821419248601
Стадион (1500 и более мест) «Ангстрем»,"город Зеленоград, Озёрная аллея, дом 3",s112@mossport.ru,s112.mossport.ru,(903) 130-05-70,37.2241592588308,55.9821009029499
Стадион (1500 и более мест) «Ангстрем»,"город Зеленоград, Озёрная аллея, дом 3",s112@mossport.ru,s112.mossport.ru,(903) 130-05-70,37.2244271863657,55.982085448528
Дворовая территория,"Голубинская улица, дом 25, корпус 1",yasenevo@uzao.mos.ru,yasenevo.mos.ru,(495) 422-02-33,37.5325871050748,55.5981760295014
"Лесопарк «Терлецкий», Природно-исторический парк «Измайлово»","улица Металлургов, дом 41, строение 1",ooptvao@gmail.com,www.mosecovao.info/vao_eco/ru,(499) 367-89-18,37.8100370496999,55.7615468150598
Спортивный комплекс «Яуза»,"Олонецкий проезд, дом 5",mso@mos.sport,mos.sport/,(495) 681-01-48,37.6648793415668,55.8799262939929
Физкультурно-оздоровительный комплекс «Южное Бутово»,"улица Поляны, дом 35",yuzhnoebutovofok@mgfso.ru,mgfso.mossport.ru/object,(495) 716-40-27,37.5498118874827,55.5507939116891
Конноспортивная база «ГБУ «СШОР «Северный» Москомспорта»,"9-я Северная линия, дом 1Б, строение 4",info@sport-severny.ru,sport-severny.ru,(499) 767-75-83,37.5554906083812,55.9371403984265
Комплекс спортивных сооружений ГБУ «ЦОП» Москомспорта,"Преображенская площадь, дом 4",cop@mossport.ru,cop.mossport.ru/,(499) 780-15-82,37.8781831909209,55.815878455075
Спортивный комплекс «Борисово»,"улица Борисовские Пруды, дом 29",borisovosk@mgfso.ru,mgfso.mossport.ru/object,(495) 390-33-75,37.7267567730046,55.6358517603654
"Парк, озелененная городская территория «Северное Тушино»","улица Свободы, дом 52",info@mosparks.ru,mosparks.ru/,(495) 640-73-55,37.4537740314207,55.8562477325334
"Парк, озелененная городская территория «Северное Тушино»","улица Свободы, дом 52",info@mosparks.ru,mosparks.ru/,(495) 640-73-55,37.4497290555593,55.8633518523807
Сквер по Олонецкому проезду,"Олонецкий проезд, дом 20",info@bapark.ru,bapark.ru,(499) 184-34-22,37.6552381906024,55.8740404943231
Парк по Ангарской улице,"Ангарская улица, дом 53, корпус 1",Liapark@ya.ru,liapark.ru/park-angarskie-prudy,(499) 908-35-00,37.5298324512436,55.8769740993383
"Лесопарк «Терлецкий», Природно-исторический парк «Измайлово»","улица Металлургов, дом 41, строение 1",ooptvao@gmail.com,www.mosecovao.info/vao_eco/ru,(499) 367-89-18,37.8098835817643,55.7615392987363
Спортивный комплекс «Яуза»,"Олонецкий проезд, дом 5",mso@mos.sport,mos.sport/,(495) 681-01-48,37.6651462213645,55.8799866250301
Спортивный комплекс «Яуза»,"Олонецкий проезд, дом 5",mso@mos.sport,mos.sport/,(495) 681-01-48,37.665691100871,55.8800967053655
Спортивный комплекс «Яуза»,"Олонецкий проезд, дом 5",mso@mos.sport,mos.sport/,(495) 681-01-48,37.6654211477881,55.8800393121651
Парк «Гольяново»,"Алтайская улица, дом 4",info@post.gbugol.ru,golyanovo.mos.ru/,(495) 469-82-81,37.8119698279346,55.8213248613456
"Парк, озелененная городская территория парк имени Юрия Лужкова","проспект Андропова, дом 58А",parkkuzminki@culture.mos.ru,www.park-kuzminki.ru,(499) 175-33-69,37.6552628754398,55.6647336687921
Стадион (1500 и более мест) «Ангстрем»,"город Зеленоград, Озёрная аллея, дом 3",s112@mossport.ru,s112.mossport.ru,(903) 130-05-70,37.224716836279,55.98204598125
Стадион «Свиблово»,"Тенистый проезд, дом 6",radugasviblovo@mail.ru,sviblovo.mos.ru,(499) 181-73-51,37.6353229874179,55.8598676342216
Дворовая территория,"площадь Юности, дом 3",gbuzelenograd@zelao.mos.ru,gbuzelenograd.ru/,(499) 736-48-41,37.2127508677689,56.0031028109569
Дворовая территория,"площадь Юности, дом 3",gbuzelenograd@zelao.mos.ru,gbuzelenograd.ru/,(499) 736-48-41,37.212572669059,56.0030560035704
Плоскостное спортивное сооружение,"Смольная улица, дом 40",artostroverh@mail.ru,levoberezhny.mos.ru/,(495) 456-10-01,37.476930176319,55.8676495330539
Дворовая территория,"Беломорская улица, дом 14, корпус 1",artostroverh@mail.ru,levoberezhny.mos.ru/,(495) 456-10-01,37.4720761715708,55.8617169218943
Плоскостное спортивное сооружение,"Смольная улица, дом 40",artostroverh@mail.ru,levoberezhny.mos.ru/,(495) 456-10-01,37.47711793095,55.8677053363466
Дворовая территория,"Каширский проезд, дом 9, корпус 1",songs@mos.ru,nagatino-sadovniki.mos.ru,(499) 612-07-46,37.6236610473766,55.6591964340303
Дворовая территория,"Каширский проезд, дом 9, корпус 1",songs@mos.ru,nagatino-sadovniki.mos.ru,(499) 612-07-46,37.6237030510117,55.659331871152
Дворовая территория,"Днепропетровская улица, дом 16, корпус 4",mchertanovo@yandex.ru,chertanovocentr.ru,(495) 389-16-66,37.5805206566013,55.61702780138
Физкультурно-оздоровительный комплекс «Центр развития детского спорта «Юность»,"улица Зорге, дом 30А",support@junost-tennis.ru,www.юность-спорт.рф,(495) 530-30-20,37.5064537426645,55.7944761525732
Физкультурно-оздоровительный комплекс «Центр развития детского спорта «Юность»,"улица Зорге, дом 30А",support@junost-tennis.ru,www.юность-спорт.рф,(495) 530-30-20,37.5068701316914,55.7952122789964
Физкультурно-оздоровительный комплекс «Центр развития детского спорта «Юность»,"улица Зорге, дом 30А",support@junost-tennis.ru,www.юность-спорт.рф,(495) 530-30-20,37.5071625179577,55.7949506455397
Физкультурно-оздоровительный комплекс «Центр развития детского спорта «Юность»,"улица Зорге, дом 30А",support@junost-tennis.ru,www.юность-спорт.рф,(495) 530-30-20,37.5070181794109,55.7950799131259
Физкультурно-оздоровительный комплекс «Центр развития детского спорта «Юность»,"улица Зорге, дом 30А",support@junost-tennis.ru,www.юность-спорт.рф,(495) 530-30-20,37.5074654687498,55.7952279231753
Дворовая территория,"посёлок Воскресенское, улица Юрьев Сад, дом 12",voskresenskoe@mos.ru,admspvoskresenskoe.ru,(495) 659-48-22,37.4677736677312,55.5291446733258
Дворовая территория,"посёлок Воскресенское, улица Юрьев Сад, дом 10",voskresenskoe@mos.ru,admspvoskresenskoe.ru,(495) 659-51-00,37.4182283856641,55.5106041277147
Комплекс спортивных сооружений ГБУ «ЦОП» Москомспорта,"Преображенская площадь, дом 4",cop@mossport.ru,cop.mossport.ru/,(499) 780-15-82,37.8779104395594,55.815818386258
Комплекс спортивных сооружений ГБУ «ЦОП» Москомспорта,"Преображенская площадь, дом 4",cop@mossport.ru,cop.mossport.ru/,(499) 780-15-82,37.8783579167177,55.815991195689
"Парк, озелененная городская территория «Сокольники»","3-й Лучевой просек, дом 1, строение 1",info@park.sokolniki.com,park.sokolniki.com,(499) 393-92-22,37.6718424044502,55.7973561321718
"Парк, озелененная городская территория «Сокольники»","3-й Лучевой просек, дом 1, строение 1",info@park.sokolniki.com,park.sokolniki.com,(499) 393-92-22,37.6720337180176,55.7972160574057
Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»,"1-й Лучевой просек, дом 5",info@park.sokolniki.com,park.sokolniki.com,(499) 393-92-22,37.6625640621275,55.7959856623947
Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»,"1-й Лучевой просек, дом 5",info@park.sokolniki.com,park.sokolniki.com,(499) 393-92-22,37.6718456117981,55.7973375113189
Учебно-спортивный центр «Труд»,"Варшавское шоссе, дом 14, строение 3",swimtrud@yandex.ru,www.swimtrud.ru,(495) 958-14-70,37.618371346763,55.6952451172657
Учебно-спортивный центр «Труд»,"Варшавское шоссе, дом 14, строение 3",swimtrud@yandex.ru,www.swimtrud.ru,(495) 958-14-70,37.6174663933344,55.6946020072627
"Парк, озелененная городская территория «Парк «Фестивальный»","улица Сущёвский Вал, дом 56, строение 4",,mospark.ru/home/parki-moskvy/parki-tsao/festivalnyj-park.html,(495) 688-57-87,37.621848842687,55.7911545767284
Дворовая территория,"Кировоградская улица, дом 22",chertanovocentr@mail.ru,chertanovocentr.mos.ru,(495) 389-16-66,37.6015944558126,55.6167723816575
"Парк, озелененная городская территория «Сквер Родная гавань»","Кировоградская улица, дом 19, корпус 1",gbuchc@mail.ru,www.gbuchc.ru/,(495) 316-73-66,37.6028243766517,55.6064755742004
Дворовая территория,"Шипиловский проезд, дом 57, корпус 2",sosbr@mos.ru,orehovo-borisovo-juzhnoe.mos.ru,(495) 343-24-83,37.7086628073237,55.604140932634
Дворовая территория,"Шипиловский проезд, дом 57, корпус 2",sosbr@mos.ru,orehovo-borisovo-juzhnoe.mos.ru,(495) 343-24-83,37.7088760429403,55.60416769546
Фитнес клуб «Х-Фит»,"Угличская улица, дом 13, строение 1",rtk-manager@xfit.ru,www.xfit.ru,(499) 682-72-66,37.5667895526064,55.9019406305881
Фитнес клуб «Х-Фит»,"Угличская улица, дом 13, строение 1",rtk-manager@xfit.ru,www.xfit.ru,(499) 682-72-66,37.5672764642456,55.9019295784544
Дворовая территория,"Астрадамская улица, дом 15",zhil-tim@mail.ru,zhiltim-peo.wixsite.com/plumber-ru,(495) 611-27-74,37.5616261180523,55.8151300648088
